name,V1,V2,V3,V4,antigen,antiserum,year,cluster,color
A/Singapore/36/1989,4.921921354,4.025241931,1.537701093,5.780641486,TRUE,FALSE,1989,SI87,blue
A/Singapore/40/1989,5.636441154,4.539621011,3.002756553,4.281102549,TRUE,FALSE,1989,SI87,blue
A/Singapore/53/1989,5.531497489,3.455863182,2.026195137,3.511562186,TRUE,FALSE,1989,SI87,blue
A/SouthAustralia/15/1994,7.209914115,4.933180535,8.047208125,6.939823817,TRUE,FALSE,1994,BE92,pink
A/SouthAustralia/23/1992,6.093187307,7.609233296,2.123814715,2.207426382,TRUE,FALSE,1992,BE89,red
A/SouthAustralia/25/1994,7.439285026,4.489689531,8.40227689,6.987066149,TRUE,FALSE,1994,BE92,pink
A/SouthAustralia/27/1992,6.139457779,8.328860938,2.950215279,3.781899608,TRUE,FALSE,1992,BE89,red
A/SouthAustralia/8/1992,4.128875596,8.485588922,3.138348132,3.225440852,TRUE,FALSE,1992,BE89,red
A/Stockholm/10/1985,2.426288552,2.104014637,2.823984864,3.879428037,TRUE,FALSE,1985,BK79,green
A/Stockholm/10/1985,2.9474339,2.762643546,2.51364966,3.668109211,FALSE,TRUE,1985,BK79,green
A/Stockholm/12/1988,5.2900118,3.571357816,2.18969626,3.253740371,TRUE,FALSE,1988,SI87,blue
A/Stockholm/12/1992,5.058240341,4.590293098,7.506885939,6.865745664,TRUE,FALSE,1992,BE92,pink
A/Stockholm/13/1992,6.280007109,5.782068848,3.127927979,2.494918476,TRUE,FALSE,1992,BE89,red
A/Stockholm/20/1991,4.741627311,7.07208633,3.72214098,2.164084498,TRUE,FALSE,1991,BE89,red
A/Stockholm/20/1993,7.212332795,4.831748823,7.584148454,6.874618896,TRUE,FALSE,1993,BE92,pink
